LatD	 LatM	 NS	 City	 LonD	 LonS	 LonM	 State	 EW	 LatS
   41	    5	" ""N"""	" ""Youngstown"""	     80	    0	   39	 OH	" ""W"""	   59
   42	   52	" ""N"""	" ""Yankton"""	     97	   23	   23	 SD	" ""W"""	   48
   46	   35	" ""N"""	" ""Yakima"""	    120	   36	   30	 WA	" ""W"""	   59
   42	   16	" ""N"""	" ""Worcester"""	     71	    0	   48	 MA	" ""W"""	   12
   43	   37	" ""N"""	" ""Wisconsin Dells"""	     89	   11	   46	 WI	" ""W"""	   48
   36	    5	" ""N"""	" ""Winston-Salem"""	     80	    0	   15	 NC	" ""W"""	   59
   49	   52	" ""N"""	" ""Winnipeg"""	     97	    0	    9	 MB	" ""W"""	   48
   39	   11	" ""N"""	" ""Winchester"""	     78	   36	    9	 VA	" ""W"""	   23
   34	   14	" ""N"""	" ""Wilmington"""	     77	   11	   55	 NC	" ""W"""	   24
   39	   45	" ""N"""	" ""Wilmington"""	     75	    0	   33	 DE	" ""W"""	    0
   48	    9	" ""N"""	" ""Williston"""	    103	   12	   37	 ND	" ""W"""	    0
   41	   15	" ""N"""	" ""Williamsport"""	     77	    0	    0	 PA	" ""W"""	    0
   37	   40	" ""N"""	" ""Williamson"""	     82	   47	   16	 WV	" ""W"""	   48
   33	   54	" ""N"""	" ""Wichita Falls"""	     98	   23	   29	 TX	" ""W"""	    0
   37	   41	" ""N"""	" ""Wichita"""	     97	   23	   20	 KS	" ""W"""	   23
   40	    4	" ""N"""	" ""Wheeling"""	     80	   12	   43	 WV	" ""W"""	   11
   26	   43	" ""N"""	" ""West Palm Beach"""	     80	    0	    3	 FL	" ""W"""	   11
   47	   25	" ""N"""	" ""Wenatchee"""	    120	   11	   19	 WA	" ""W"""	   11
   41	   25	" ""N"""	" ""Weed"""	    122	   23	   23	 CA	" ""W"""	   11
   31	   13	" ""N"""	" ""Waycross"""	     82	   59	   20	 GA	" ""W"""	   11
   44	   57	" ""N"""	" ""Wausau"""	     89	   23	   38	 WI	" ""W"""	   35
   42	   21	" ""N"""	" ""Waukegan"""	     87	   48	   49	 IL	" ""W"""	   36
   44	   54	" ""N"""	" ""Watertown"""	     97	   36	    6	 SD	" ""W"""	    0
   43	   58	" ""N"""	" ""Watertown"""	     75	   11	   55	 NY	" ""W"""	   47
   42	   30	" ""N"""	" ""Waterloo"""	     92	   23	   20	 IA	" ""W"""	    0
   41	   32	" ""N"""	" ""Waterbury"""	     73	    0	    3	 CT	" ""W"""	   59
   38	   53	" ""N"""	" ""Washington"""	     77	   47	    1	 DC	" ""W"""	   23
   41	   50	" ""N"""	" ""Warren"""	     79	   23	    8	 PA	" ""W"""	   59
   46	    4	" ""N"""	" ""Walla Walla"""	    118	   48	   19	 WA	" ""W"""	   11
   31	   32	" ""N"""	" ""Waco"""	     97	   23	    8	 TX	" ""W"""	   59
   38	   40	" ""N"""	" ""Vincennes"""	     87	   47	   31	 IN	" ""W"""	   48
   28	   48	" ""N"""	" ""Victoria"""	     97	   36	    0	 TX	" ""W"""	   35
   32	   20	" ""N"""	" ""Vicksburg"""	     90	   47	   52	 MS	" ""W"""	   59
   49	   16	" ""N"""	" ""Vancouver"""	    123	   12	    7	 BC	" ""W"""	   12
   46	   55	" ""N"""	" ""Valley City"""	     98	   36	    0	 ND	" ""W"""	   11
   30	   49	" ""N"""	" ""Valdosta"""	     83	   47	   16	 GA	" ""W"""	   47
   43	    6	" ""N"""	" ""Utica"""	     75	   48	   13	 NY	" ""W"""	   36
   39	   54	" ""N"""	" ""Uniontown"""	     79	   48	   43	 PA	" ""W"""	    0
   32	   20	" ""N"""	" ""Tyler"""	     95	    0	   18	 TX	" ""W"""	   59
   42	   33	" ""N"""	" ""Twin Falls"""	    114	   12	   28	 ID	" ""W"""	   36
   33	   12	" ""N"""	" ""Tuscaloosa"""	     87	   11	   34	 AL	" ""W"""	   35
   34	   15	" ""N"""	" ""Tupelo"""	     88	   35	   42	 MS	" ""W"""	   35
   36	    9	" ""N"""	" ""Tulsa"""	     95	   36	   54	 OK	" ""W"""	   35
   32	   13	" ""N"""	" ""Tucson"""	    110	   12	   58	 AZ	" ""W"""	   12
   37	   10	" ""N"""	" ""Trinidad"""	    104	   36	   30	 CO	" ""W"""	   11
   40	   13	" ""N"""	" ""Trenton"""	     74	   11	   46	 NJ	" ""W"""	   47
   44	   45	" ""N"""	" ""Traverse City"""	     85	   47	   37	 MI	" ""W"""	   35
   43	   39	" ""N"""	" ""Toronto"""	     79	   47	   22	 ON	" ""W"""	    0
   39	    2	" ""N"""	" ""Topeka"""	     95	   11	   40	 KS	" ""W"""	   59
   41	   39	" ""N"""	" ""Toledo"""	     83	   24	   32	 OH	" ""W"""	    0
   33	   25	" ""N"""	" ""Texarkana"""	     94	    0	    3	 TX	" ""W"""	   48
   39	   28	" ""N"""	" ""Terre Haute"""	     87	   36	   24	 IN	" ""W"""	   12
   27	   57	" ""N"""	" ""Tampa"""	     82	   59	   26	 FL	" ""W"""	    0
   30	   27	" ""N"""	" ""Tallahassee"""	     84	   47	   16	 FL	" ""W"""	    0
   47	   14	" ""N"""	" ""Tacoma"""	    122	   48	   25	 WA	" ""W"""	   24
   43	    2	" ""N"""	" ""Syracuse"""	     76	    0	    9	 NY	" ""W"""	   59
   32	   35	" ""N"""	" ""Swainsboro"""	     82	   23	   20	 GA	" ""W"""	   59
   33	   55	" ""N"""	" ""Sumter"""	     80	   59	   20	 SC	" ""W"""	   11
   40	   59	" ""N"""	" ""Stroudsburg"""	     75	   24	   11	 PA	" ""W"""	   24
   37	   57	" ""N"""	" ""Stockton"""	    121	   24	   17	 CA	" ""W"""	   35
   44	   31	" ""N"""	" ""Stevens Point"""	     89	   11	   34	 WI	" ""W"""	   12
   40	   21	" ""N"""	" ""Steubenville"""	     80	   12	   37	 OH	" ""W"""	   36
   40	   37	" ""N"""	" ""Sterling"""	    103	   12	   13	 CO	" ""W"""	   11
   38	    9	" ""N"""	" ""Staunton"""	     79	   11	    4	 VA	" ""W"""	    0
   39	   55	" ""N"""	" ""Springfield"""	     83	   35	   48	 OH	" ""W"""	   11
   37	   13	" ""N"""	" ""Springfield"""	     93	   24	   17	 MO	" ""W"""	   12
   42	    5	" ""N"""	" ""Springfield"""	     72	   23	   35	 MA	" ""W"""	   59
   39	   47	" ""N"""	" ""Springfield"""	     89	    0	   39	 IL	" ""W"""	   59
   47	   40	" ""N"""	" ""Spokane"""	    117	   36	   24	 WA	" ""W"""	   11
   41	   40	" ""N"""	" ""South Bend"""	     86	    0	   15	 IN	" ""W"""	   48
   43	   32	" ""N"""	" ""Sioux Falls"""	     96	   48	   43	 SD	" ""W"""	   24
   42	   29	" ""N"""	" ""Sioux City"""	     96	   23	   23	 IA	" ""W"""	   24
   32	   30	" ""N"""	" ""Shreveport"""	     93	    0	   45	 LA	" ""W"""	   35
   33	   38	" ""N"""	" ""Sherman"""	     96	   36	   36	 TX	" ""W"""	   23
   44	   47	" ""N"""	" ""Sheridan"""	    106	   35	   57	 WY	" ""W"""	   59
   35	   13	" ""N"""	" ""Seminole"""	     96	   48	   40	 OK	" ""W"""	   47
   32	   25	" ""N"""	" ""Selma"""	     87	   11	    1	 AL	" ""W"""	   11
   38	   42	" ""N"""	" ""Sedalia"""	     93	   48	   13	 MO	" ""W"""	   35
   47	   35	" ""N"""	" ""Seattle"""	    122	   48	   19	 WA	" ""W"""	   59
   41	   24	" ""N"""	" ""Scranton"""	     75	   11	   40	 PA	" ""W"""	   35
   41	   52	" ""N"""	" ""Scottsbluff"""	    103	   36	   39	 NB	" ""W"""	   11
   42	   49	" ""N"""	" ""Schenectady"""	     73	   59	   56	 NY	" ""W"""	   11
   32	    4	" ""N"""	" ""Savannah"""	     81	   23	    5	 GA	" ""W"""	   48
   46	   29	" ""N"""	" ""Sault Sainte Marie"""	     84	   59	   20	 MI	" ""W"""	   24
   27	   20	" ""N"""	" ""Sarasota"""	     82	   47	   31	 FL	" ""W"""	   24
   38	   26	" ""N"""	" ""Santa Rosa"""	    122	   12	   43	 CA	" ""W"""	   23
   35	   40	" ""N"""	" ""Santa Fe"""	    105	   59	   56	 NM	" ""W"""	   48
   34	   25	" ""N"""	" ""Santa Barbara"""	    119	   59	   41	 CA	" ""W"""	   11
   33	   45	" ""N"""	" ""Santa Ana"""	    117	   12	   52	 CA	" ""W"""	   35
   37	   20	" ""N"""	" ""San Jose"""	    121	   47	   52	 CA	" ""W"""	   24
   37	   46	" ""N"""	" ""San Francisco"""	    122	   11	   25	 CA	" ""W"""	   47
   41	   27	" ""N"""	" ""Sandusky"""	     82	   35	   42	 OH	" ""W"""	    0
   32	   42	" ""N"""	" ""San Diego"""	    117	    0	    9	 CA	" ""W"""	   35
   34	    6	" ""N"""	" ""San Bernardino"""	    117	   35	   18	 CA	" ""W"""	   36
   29	   25	" ""N"""	" ""San Antonio"""	     98	    0	   30	 TX	" ""W"""	   12
   31	   27	" ""N"""	" ""San Angelo"""	    100	   24	   26	 TX	" ""W"""	   35
   40	   45	" ""N"""	" ""Salt Lake City"""	    111	   47	   52	 UT	" ""W"""	   35
   38	   22	" ""N"""	" ""Salisbury"""	     75	   59	   35	 MD	" ""W"""	   11
   36	   40	" ""N"""	" ""Salinas"""	    121	    0	   39	 CA	" ""W"""	   11
   38	   50	" ""N"""	" ""Salina"""	     97	   36	   36	 KS	" ""W"""	   24
   38	   31	" ""N"""	" ""Salida"""	    106	    0	    0	 CO	" ""W"""	   47
   44	   56	" ""N"""	" ""Salem"""	    123	   47	    1	 OR	" ""W"""	   23
   44	   57	" ""N"""	" ""Saint Paul"""	     93	   59	    5	 MN	" ""W"""	    0
   38	   37	" ""N"""	" ""Saint Louis"""	     90	   24	   11	 MO	" ""W"""	   11
   39	   46	" ""N"""	" ""Saint Joseph"""	     94	   23	   50	 MO	" ""W"""	   12
   42	    5	" ""N"""	" ""Saint Joseph"""	     86	   48	   28	 MI	" ""W"""	   59
   44	   25	" ""N"""	" ""Saint Johnsbury"""	     72	   11	    1	 VT	" ""W"""	   11
   45	   34	" ""N"""	" ""Saint Cloud"""	     94	   11	   10	 MN	" ""W"""	   11
   29	   53	" ""N"""	" ""Saint Augustine"""	     81	   11	   19	 FL	" ""W"""	   23
   43	   25	" ""N"""	" ""Saginaw"""	     83	   24	   56	 MI	" ""W"""	   48
   38	   35	" ""N"""	" ""Sacramento"""	    121	   23	   29	 CA	" ""W"""	   24
   43	   36	" ""N"""	" ""Rutland"""	     72	   12	   58	 VT	" ""W"""	   36
   33	   24	" ""N"""	" ""Roswell"""	    104	   47	   31	 NM	" ""W"""	    0
   35	   56	" ""N"""	" ""Rocky Mount"""	     77	    0	   48	 NC	" ""W"""	   23
   41	   35	" ""N"""	" ""Rock Springs"""	    109	   48	   13	 WY	" ""W"""	   24
   42	   16	" ""N"""	" ""Rockford"""	     89	   59	    5	 IL	" ""W"""	   12
   43	    9	" ""N"""	" ""Rochester"""	     77	   36	   36	 NY	" ""W"""	   35
   44	    1	" ""N"""	" ""Rochester"""	     92	   35	   27	 MN	" ""W"""	   12
   37	   16	" ""N"""	" ""Roanoke"""	     79	   24	   56	 VA	" ""W"""	   12
   37	   32	" ""N"""	" ""Richmond"""	     77	   59	   26	 VA	" ""W"""	   24
   39	   49	" ""N"""	" ""Richmond"""	     84	   23	   53	 IN	" ""W"""	   48
   38	   46	" ""N"""	" ""Richfield"""	    112	   23	    5	 UT	" ""W"""	   12
   45	   38	" ""N"""	" ""Rhinelander"""	     89	   11	   25	 WI	" ""W"""	   23
   39	   31	" ""N"""	" ""Reno"""	    119	   35	   48	 NV	" ""W"""	   12
   50	   25	" ""N"""	" ""Regina"""	    104	    0	   39	 SA	" ""W"""	   11
   40	   10	" ""N"""	" ""Red Bluff"""	    122	   23	   14	 CA	" ""W"""	   48
   40	   19	" ""N"""	" ""Reading"""	     75	   48	   55	 PA	" ""W"""	   48
   41	    9	" ""N"""	" ""Ravenna"""	     81	   23	   14	 OH 	" ""W"""	   35
